,,"Belfast Centre",,,,,,,,,
Date,Time,Ozone,Status,"Nitrogen dioxide",Status,"Sulphur dioxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
07/10/2024,01:00,2.79398,"P µg/m³",43.98750,"P µg/m³",1.86263,"P µg/m³",17.100,"P µg/m³ (FIDAS)",11.981,"P µg/m³ (Ref.eq)"
07/10/2024,02:00,4.98925,"P µg/m³",37.10250,"P µg/m³",1.77393,"P µg/m³",14.800,"P µg/m³ (FIDAS)",10.189,"P µg/m³ (Ref.eq)"
07/10/2024,03:00,2.59441,"P µg/m³",43.98750,"P µg/m³",1.92915,"P µg/m³",12.500,"P µg/m³ (FIDAS)",9.623,"P µg/m³ (Ref.eq)"
07/10/2024,04:00,7.18452,"P µg/m³",38.82375,"P µg/m³",1.13088,"P µg/m³",8.900,"P µg/m³ (FIDAS)",6.604,"P µg/m³ (Ref.eq)"
07/10/2024,05:00,4.59011,"P µg/m³",42.64875,"P µg/m³",0.59870,"P µg/m³",10.700,"P µg/m³ (FIDAS)",6.887,"P µg/m³ (Ref.eq)"
07/10/2024,06:00,3.59226,"P µg/m³",55.27125,"P µg/m³",1.86263,"P µg/m³",12.400,"P µg/m³ (FIDAS)",7.453,"P µg/m³ (Ref.eq)"
07/10/2024,07:00,2.19527,"P µg/m³",62.34750,"P µg/m³",2.59438,"P µg/m³",15.600,"P µg/m³ (FIDAS)",8.774,"P µg/m³ (Ref.eq)"
07/10/2024,08:00,2.59441,"P µg/m³",73.82250,"P µg/m³",4.45701,"P µg/m³",19.200,"P µg/m³ (FIDAS)",11.509,"P µg/m³ (Ref.eq)"
07/10/2024,00:15,"No data","No data","No data","No data",1.59654,"P µg/m³","No data","No data","No data","No data"
07/10/2024,00:30,"No data","No data","No data","No data",2.12872,"P µg/m³","No data","No data","No data","No data"
07/10/2024,00:45,"No data","No data","No data","No data",1.86263,"P µg/m³","No data","No data","No data","No data"
07/10/2024,01:00,"No data","No data","No data","No data","No data","P µg/m³","No data","No data","No data","No data"
07/10/2024,01:15,"No data","No data","No data","No data","No data","P µg/m³","No data","No data","No data","No data"
07/10/2024,01:30,"No data","No data","No data","No data",1.86263,"P µg/m³","No data","No data","No data","No data"
07/10/2024,01:45,"No data","No data","No data","No data",1.86263,"P µg/m³","No data","No data","No data","No data"
07/10/2024,02:00,"No data","No data","No data","No data",1.59654,"P µg/m³","No data","No data","No data","No data"
07/10/2024,02:15,"No data","No data","No data","No data",1.59654,"P µg/m³","No data","No data","No data","No data"
07/10/2024,02:30,"No data","No data","No data","No data",1.86263,"P µg/m³","No data","No data","No data","No data"
07/10/2024,02:45,"No data","No data","No data","No data",2.12872,"P µg/m³","No data","No data","No data","No data"
07/10/2024,03:00,"No data","No data","No data","No data",2.12872,"P µg/m³","No data","No data","No data","No data"
07/10/2024,03:15,"No data","No data","No data","No data",1.86263,"P µg/m³","No data","No data","No data","No data"
07/10/2024,03:30,"No data","No data","No data","No data",1.33045,"P µg/m³","No data","No data","No data","No data"
07/10/2024,03:45,"No data","No data","No data","No data",1.06436,"P µg/m³","No data","No data","No data","No data"
07/10/2024,04:00,"No data","No data","No data","No data",0.26609,"P µg/m³","No data","No data","No data","No data"
07/10/2024,04:15,"No data","No data","No data","No data",0.00000,"P µg/m³","No data","No data","No data","No data"
07/10/2024,04:30,"No data","No data","No data","No data",0.53218,"P µg/m³","No data","No data","No data","No data"
07/10/2024,04:45,"No data","No data","No data","No data",0.53218,"P µg/m³","No data","No data","No data","No data"
07/10/2024,05:00,"No data","No data","No data","No data",1.33045,"P µg/m³","No data","No data","No data","No data"
07/10/2024,05:15,"No data","No data","No data","No data",1.86263,"P µg/m³","No data","No data","No data","No data"
07/10/2024,05:30,"No data","No data","No data","No data",2.12872,"P µg/m³","No data","No data","No data","No data"
07/10/2024,05:45,"No data","No data","No data","No data",1.86263,"P µg/m³","No data","No data","No data","No data"
07/10/2024,06:00,"No data","No data","No data","No data",1.59654,"P µg/m³","No data","No data","No data","No data"
07/10/2024,06:15,"No data","No data","No data","No data",1.86263,"P µg/m³","No data","No data","No data","No data"
07/10/2024,06:30,"No data","No data","No data","No data",1.86263,"P µg/m³","No data","No data","No data","No data"
07/10/2024,06:45,"No data","No data","No data","No data",2.66090,"P µg/m³","No data","No data","No data","No data"
07/10/2024,07:00,"No data","No data","No data","No data",3.99135,"P µg/m³","No data","No data","No data","No data"
07/10/2024,07:15,"No data","No data","No data","No data",3.72526,"P µg/m³","No data","No data","No data","No data"
07/10/2024,07:30,"No data","No data","No data","No data",3.45917,"P µg/m³","No data","No data","No data","No data"
07/10/2024,07:45,"No data","No data","No data","No data",4.25744,"P µg/m³","No data","No data","No data","No data"
07/10/2024,08:00,"No data","No data","No data","No data",6.38616,"P µg/m³","No data","No data","No data","No data"
